area,name,num,style,year
美国,十二怒汉,26,剧情,1957
美国,怦然心动,27,剧情 喜剧 爱情,2010
美国 新西兰,指环王3：王者无敌,28,剧情 动作 奇幻 冒险,2003
日本,天空之城,29,动画 奇幻 冒险,1986
美国 台湾 英国 加拿大,少年派的奇幻漂流,30,剧情 奇幻 冒险,2012
美国,罗马假日,31,喜剧 剧情 爱情,1953
美国 英国 加拿大,星际穿越,32,剧情 科幻 悬疑 冒险 家庭,2014
中国大陆,鬼子来了,33,剧情 战争,2000
美国 英国,蝙蝠侠：黑暗骑士,34,剧情 动作 科幻 犯罪 惊悚,2008
香港 中国大陆,大话西游之月光宝盒,35,喜剧 动作 爱情 奇幻 冒险 古装,1995
英国,两杆大烟枪,36,剧情 喜剧 犯罪,1998
中国大陆 香港,活着,37,剧情 家庭,1994
美国,飞屋环游记,38,剧情 喜剧 动画 奇幻 冒险,2009
德国,窃听风暴,39,剧情 悬疑,2006
美国,飞越疯人院,40,剧情,1975
美国,海豚湾,41,纪录片,2009
美国,闻香识女人,42,剧情,1992
美国 英国 德国,V字仇杀队,43,剧情 动作 科幻 惊悚,2005
日本,哈尔的移动城堡,44,爱情 动画 奇幻 冒险,2004
美国,教父2,45,剧情 犯罪,1974
美国,美丽心灵,46,传记 剧情,2001
美国 新西兰,指环王2：双塔奇兵,47,剧情 动作 奇幻 冒险,2002
新西兰 美国,指环王1：魔戒再现,48,剧情 动作 奇幻 冒险,2001
美国,死亡诗社,49,剧情,1989
日本,情书,50,剧情 爱情,1995
areas,name,num,styles,year
美国,肖申克的救赎,1,"犯罪,剧情",1994
"中国大陆,香港",霸王别姬,2,"剧情,爱情,同性",1993
法国,这个杀手不太冷,3,"剧情,动作,犯罪",1994
美国,阿甘正传,4,"剧情,爱情",1994
意大利,美丽人生,5,"剧情,喜剧,爱情,战争",1997
日本,千与千寻,6,"剧情,动画,奇幻",2001
美国,辛德勒的名单,7,"剧情,历史,战争",1993
美国,泰坦尼克号,8,"剧情,爱情,灾难",1997
"美国,英国",盗梦空间,9,"剧情,动作,科幻,悬疑,冒险",2010
"法国,德国",天使爱美丽,51,"喜剧,爱情",2001
美国,机器人总动员,10,"喜剧,爱情,科幻,动画,冒险",2008
意大利,海上钢琴师,11,"剧情,音乐",1998
印度,三傻大闹宝莱坞,12,"剧情,喜剧,爱情,歌舞",2009
"美国,英国",忠犬八公的故事,13,剧情,2009
"法国,英国",虎口脱险,126,"喜剧,战争",1966
美国,十二怒汉,26,剧情,1957
"意大利,美国",美国往事,52,"犯罪,剧情",1984
美国,控方证人,53,"剧情,犯罪,悬疑",1957
美国,七宗罪,54,"剧情,犯罪,悬疑,惊悚",1995
"法国,瑞士,德国",放牛班的春天,14,"剧情,音乐",2004
"香港,中国大陆",大话西游之大圣娶亲,15,"动作,冒险,喜剧,奇幻,爱情",1995
美国,教父,16,"剧情,犯罪",1972
日本,龙猫,17,"动画,奇幻",1988
美国,楚门的世界,18,"剧情,科幻",1998
美国,乱世佳人,19,"剧情,爱情,战争",1940
"意大利,法国",天堂电影院,20,"剧情,爱情",1988
法国,触不可及,21,"剧情,喜剧",2011
美国,当幸福来敲门,22,"剧情,传记,家庭",2006
"美国,德国",搏击俱乐部,23,"剧情,动作,悬疑,惊悚",1999
日本,风之谷,101,"科幻,动画,奇幻,冒险",1984
美国,我是山姆,151,"剧情,家庭",2001
"香港,台湾",东邪西毒,127,"剧情,动作,爱情,武侠,古装",1994
日本,红辣椒,128,"动画,悬疑,科幻,惊悚",2006
韩国,杀人回忆,129,"犯罪,剧情,悬疑,惊悚",2003
美国,怦然心动,27,"剧情,喜剧,爱情",2010
"美国,新西兰",指环王3：王者无敌,28,"剧情,动作,奇幻,冒险",2003
日本,天空之城,29,"动画,奇幻,冒险",1986
"美国,台湾,英国,加拿大",少年派的奇幻漂流,30,"剧情,奇幻,冒险",2012
日本,幽灵公主,76,"动作,爱情,战争,动画,奇幻,冒险",1997
日本,忠犬八公物语,201,剧情,1987
"英国,德国,法国",海盗电台,176,"剧情,喜剧,音乐",2009
"法国,德国,英国,波兰",钢琴家,55,"剧情,传记,历史,战争",2002
美国,狮子王,56,"剧情,动画,冒险,歌舞,家庭",1994
韩国,辩护人,57,剧情,2013
"台湾,美国",饮食男女,58,"剧情,家庭",1994
日本,被嫌弃的松子的一生,59,"剧情,歌舞",2006
"美国,英国",致命魔术,60,"剧情,悬疑,惊悚",2006
美国,勇敢的心,61,"动作,传记,剧情,历史,战争",1995
伊朗,小鞋子,62,"剧情,家庭,儿童",1997
美国,剪刀手爱德华,63,"剧情,奇幻,爱情",1990
美国,音乐之声,64,"剧情,爱情,歌舞,家庭,传记",1965
美国,低俗小说,65,"剧情,喜剧,犯罪",1994
"美国,德国",血钻,226,"剧情,惊悚,冒险",2006
韩国,熔炉,24,剧情,2011
香港,无间道,25,"剧情,犯罪,悬疑",2002
"美国,加拿大",猫鼠游戏,102,"传记,犯罪,剧情",2002
美国,爱在日落黄昏时,103,"剧情,爱情",2004
日本,萤火虫之墓,104,"动画,剧情,战争",1988
日本,侧耳倾听,105,"剧情,爱情,动画,音乐",1995
"美国,英国",哈利·波特与魔法石,106,"奇幻,冒险",2001
美国,驯龙高手,107,"喜剧,动画,奇幻,冒险,家庭",2010
美国,超脱,108,剧情,2011
"英国,美国",穿条纹睡衣的男孩,109,"剧情,战争",2008
"法国,瑞士,西班牙,美国,阿联酋",海洋,110,纪录片,2009
美国,幸福终点站,111,"喜剧,剧情,爱情",2004
美国,消失的爱人,112,"剧情,犯罪,悬疑,惊悚",2014
日本,菊次郎的夏天,113,"剧情,喜剧",1999
香港,倩女幽魂,114,"剧情,爱情,武侠,古装",1987
"美国,法国",神偷奶爸,115,"儿童,喜剧,犯罪,动画,冒险,家庭",2010
日本,七武士,116,"动作,冒险,剧情",1954
美国,记忆碎片,130,"犯罪,剧情,悬疑,惊悚",2000
德国,浪潮,152,"剧情,惊悚",2008
"德国,法国,西班牙,美国",香水,153,"剧情,犯罪,奇幻",2006
"美国,英国",哈利·波特与死亡圣器(下),154,"剧情,悬疑,奇幻,冒险",2011
"香港,法国",花样年华,155,"剧情,爱情",2000
韩国,7号房的礼物,156,"剧情,喜剧,家庭",2013
美国,冰川时代,157,"喜剧,动画,冒险",2002
"美国,德国",撞车,158,"犯罪,剧情",2004
